transaction_id,is_fraud,pattern
TXN0003498,False,none
TXN0010239,False,none
TXN0011088,False,none
TXN0011054,False,none
TXN0002441,False,none
TXN0008754,False,none
TXN0007301,False,none
TXN0006526,False,none
TXN0004726,False,none
TXN0006759,False,none
TXN0002402,False,none
TXN0001360,False,none
TXN0011718,False,none
TXN0005322,False,none
TXN0010153,False,none
TXN0007510,False,none
TXN0010239,False,none
TXN0010872,False,none
TXN0002272,False,none
TXN0004498,False,none
TXN0007128,False,none
TXN0001494,False,none
TXN0003491,False,none
TXN0011134,False,none
TXN0002044,False,none
TXN0001921,False,none
TXN0010852,False,none
TXN0001607,False,none
TXN0007293,False,none
TXN0011012,False,none
TXN0004593,False,none
TXN0004205,False,none
TXN0001701,False,none
TXN0003371,False,none
TXN0002672,False,none
TXN0009387,False,none
TXN0005970,False,none
TXN0006487,False,none
TXN0010727,False,none
TXN0007358,False,none
TXN0009815,False,none
TXN0000180,False,none
TXN0002605,False,none
TXN0004124,False,none
TXN0001695,False,none
TXN0010713,False,none
TXN0006928,False,none
TXN0010420,False,none
TXN0007081,False,none
TXN0001609,False,none
TXN0005376,False,none
TXN0004485,False,none
TXN0006463,False,none
TXN0009915,False,none
TXN0002237,False,none
TXN0010730,False,none
TXN0001459,False,none
TXN0001761,False,none
TXN0004121,False,none
TXN0006516,False,none
TXN0007694,False,none
TXN0006860,False,none
TXN0011091,False,none
TXN0005081,False,none
TXN0011223,False,none
TXN0002448,False,none
TXN0009561,False,none
TXN0006002,False,none
TXN0001855,False,none
TXN0000077,False,none
TXN0004927,False,none
TXN0006703,False,none
TXN0006214,False,none
TXN0002692,False,none
TXN0007980,False,none
TXN0011567,False,none
TXN0000211,False,none
TXN0002440,False,none
TXN0011744,False,none
TXN0008262,False,none
TXN0002192,False,none
TXN0010634,False,none
TXN0002868,False,none
TXN0000399,False,none
TXN0005953,False,none
TXN0001847,False,none
TXN0009029,False,none
TXN0003456,False,none
TXN0004097,False,none
TXN0010365,False,none
TXN0010247,False,none
TXN0008689,False,none
TXN0000861,False,none
TXN0012159,False,lookalike_legit
TXN0003282,False,none
TXN0004969,False,none
TXN0001224,False,none
TXN0007079,False,none
TXN0005769,False,none
TXN0010361,False,none
TXN0005177,False,none
TXN0002802,False,none
TXN0011746,False,none
TXN0006774,False,none
TXN0011486,False,none
TXN0002312,False,none
TXN0000724,False,none
TXN0007133,False,none
TXN0008696,False,none
TXN0005736,False,none
TXN0000111,False,none
TXN0009689,False,none
TXN0001139,False,none
TXN0002112,False,none
TXN0005889,False,none
TXN0001258,False,none
TXN0004328,False,none
TXN0001793,False,none
TXN0004271,False,none
TXN0010240,False,none
TXN0004714,False,none
TXN0000159,False,none
TXN0002759,False,none
TXN0003795,False,none
TXN0008670,False,none
TXN0009599,False,none
TXN0006469,False,none
TXN0000695,False,none
TXN0002524,False,none
TXN0003686,False,none
TXN0009379,False,none
TXN0005198,False,none
TXN0001774,False,none
TXN0009616,False,none
TXN0005304,False,none
TXN0004084,False,none
TXN0008155,False,none
TXN0007103,False,none
TXN0006791,False,none
TXN0011691,False,none
TXN0006344,False,none
TXN0005373,False,none
TXN0000769,False,none
TXN0010291,False,none
TXN0000616,False,none
TXN0005537,False,none
TXN0005374,False,none
TXN0007094,False,none
TXN0012013,True,velocity
TXN0007542,False,none
TXN0002086,False,none
TXN0004021,False,none
TXN0008423,False,none
TXN0012031,True,velocity
TXN0006064,False,none
TXN0000366,False,none
TXN0008641,False,none
TXN0006381,False,none
TXN0010275,False,none
TXN0007899,False,none
TXN0001058,False,none
TXN0010261,False,none
TXN0005746,False,none
TXN0005085,False,none
TXN0011728,False,none
TXN0001479,False,none
TXN0004634,False,none
TXN0007028,False,none
TXN0001129,False,none
TXN0008708,False,none
TXN0006997,False,none
TXN0008716,False,none
TXN0006981,False,none
TXN0000235,False,none
TXN0003891,False,none
TXN0010266,False,none
TXN0011508,False,none
TXN0011132,False,none
TXN0012037,True,velocity
TXN0005673,False,none
TXN0003005,False,none
TXN0009888,False,none
TXN0010369,False,none
TXN0000016,False,none
TXN0001266,False,none
TXN0001302,False,none
TXN0005828,False,none
TXN0010307,False,none
TXN0007240,False,none
TXN0008245,False,none
TXN0003038,False,none
TXN0012065,True,velocity
TXN0009896,False,none
TXN0000517,False,none
TXN0006191,False,none
TXN0009866,False,none
TXN0010359,False,none
TXN0002735,False,none
TXN0010363,False,none
TXN0002563,False,none
TXN0007343,False,none
TXN0002770,False,none
TXN0008607,False,none
TXN0009194,False,none
TXN0006641,False,none
TXN0005633,False,none
TXN0009046,False,none
TXN0004478,False,none
TXN0007915,False,none
TXN0011897,False,none
TXN0010433,False,none
TXN0008076,False,none
TXN0006076,False,none
TXN0010648,False,none
TXN0001276,False,none
TXN0000901,False,none
TXN0002101,False,none
TXN0001322,False,none
TXN0009766,False,none
TXN0006171,False,none
TXN0001346,False,none
TXN0012062,True,velocity
TXN0009628,False,none
TXN0000345,False,none
TXN0000557,False,none
TXN0011024,False,none
TXN0007256,False,none
TXN0006851,False,none
TXN0009994,False,none
TXN0010976,False,none
TXN0009534,False,none
TXN0008990,False,none
TXN0007436,False,none
TXN0003303,False,none
TXN0006966,False,none
TXN0005486,False,none
TXN0010701,False,none
TXN0006124,False,none
TXN0008766,False,none
TXN0011405,False,none
TXN0003170,False,none
TXN0003834,False,none
TXN0003914,False,none
TXN0010897,False,none
TXN0004168,False,none
TXN0003009,False,none
TXN0003955,False,none
TXN0012149,False,lookalike_legit
TXN0009441,False,none
TXN0004786,False,none
TXN0009831,False,none
TXN0000281,False,none
TXN0009615,False,none
TXN0000069,False,none
TXN0007909,False,none
TXN0009262,False,none
TXN0003653,False,none
TXN0004878,False,none
TXN0011439,False,none
TXN0007088,False,none
TXN0005281,False,none
TXN0003866,False,none
TXN0007439,False,none
TXN0002952,False,none
TXN0002406,False,none
TXN0010818,False,none
TXN0003850,False,none
TXN0001696,False,none
TXN0001600,False,none
TXN0008153,False,none
TXN0010483,False,none
TXN0001694,False,none
TXN0011481,False,none
TXN0002418,False,none
TXN0010638,False,none
TXN0004141,False,none
TXN0007327,False,none
TXN0004295,False,none
TXN0003939,False,none
TXN0008949,False,none
TXN0006067,False,none
TXN0010632,False,none
TXN0001959,False,none
TXN0004108,False,none
TXN0005076,False,none
TXN0010937,False,none
TXN0007914,False,none
TXN0004541,False,none
TXN0004046,False,none
TXN0005570,False,none
TXN0002512,False,none
TXN0000286,False,none
TXN0010252,False,none
TXN0007905,False,none
TXN0011408,False,none
TXN0005716,False,none
TXN0009411,False,none
TXN0001900,False,none
TXN0002376,False,none
TXN0000893,False,none
TXN0001748,False,none
TXN0006706,False,none
TXN0004581,False,none
TXN0001626,False,none
TXN0006640,False,none
TXN0005264,False,none
TXN0002209,False,none
TXN0003383,False,none
TXN0011824,False,none
